               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.021011,            0.016602,          0.00080954,             0.89056,             0.81917,             0.88343,               0.581,            0.024235,            0.018095,           0.0021417,           0.0055945,           0.0055945,           0.0055945
                  91,            0.021364,            0.016796,          0.00087219,             0.91136,             0.78843,             0.87852,             0.57566,            0.024234,             0.01814,            0.002563,            0.005545,            0.005545,            0.005545
                  92,            0.019846,            0.016044,            0.000845,              0.8784,             0.80669,             0.87783,             0.58694,              0.0233,            0.017772,            0.002275,           0.0054955,           0.0054955,           0.0054955
                  93,            0.020832,            0.016869,          0.00077959,             0.88984,             0.84531,             0.88701,             0.59154,             0.02325,            0.017661,           0.0020256,            0.005446,            0.005446,            0.005446
                  94,            0.020452,            0.016673,          0.00095231,             0.92986,             0.79955,             0.87357,             0.57501,            0.023626,             0.01811,           0.0052234,           0.0053965,           0.0053965,           0.0053965
                  95,            0.020652,            0.017148,           0.0010756,             0.88662,              0.8103,             0.88302,             0.57144,            0.024154,            0.018346,           0.0051293,            0.005347,            0.005347,            0.005347
                  96,            0.020059,            0.015662,           0.0011806,              0.8805,             0.83378,             0.88662,             0.57949,            0.023105,            0.018428,           0.0025274,           0.0052975,           0.0052975,           0.0052975
                  97,             0.02057,            0.016604,          0.00092142,             0.91196,             0.80823,             0.88205,             0.58278,            0.023187,            0.017937,           0.0022829,            0.005248,            0.005248,            0.005248
                  98,            0.020295,             0.01541,          0.00095532,             0.86232,             0.82777,             0.88804,             0.58779,            0.023529,            0.017878,           0.0026598,           0.0051985,           0.0051985,           0.0051985
                  99,            0.020418,            0.015822,          0.00085605,             0.86624,             0.83514,             0.88986,             0.58122,            0.023461,            0.018048,           0.0024422,            0.005149,            0.005149,            0.005149
                 100,            0.019058,            0.015679,          0.00084957,             0.85503,             0.85533,             0.88604,             0.58205,            0.023055,            0.018074,           0.0026434,           0.0050995,           0.0050995,           0.0050995
                 101,            0.020223,            0.016534,          0.00086215,             0.90353,             0.82325,             0.89137,              0.5827,            0.022901,             0.01822,           0.0024634,             0.00505,             0.00505,             0.00505
